Name,RA_hms,DEC_dms,RA,DEC,kg5,u,g,r,i,z,iz,n86,NaI,clear,bowen,bcont,rcont,Ha_narrow,Ha_broad,Type,SpType,fname,Gaia_DR3_ID,Variability
WD0004+330,00:07:32.26,33:17:27.60,1.8844167,33.291,13.676,13.157,13.553,14.026,14.404,14.758,14.501,14.675,13.947,13.827,13.494,13.688,14.216,14.219,14.216,Secondary,DA1,V2.SPSS156.ascii,2874319284171715968,
WD0018-267,00:21:30.73,-26:26:11.46,5.3780417,-26.436517,13.912,15.248,14.054,13.619,13.438,13.426,13.435,13.421,13.651,13.776,14.035,13.923,13.573,13.566,13.573,Secondary,DA9,V2.SPSS158.ascii,2323394345824851584,
WD0038+555,00:41:21.99,55:50:08.40,10.341625,55.835667,14.036,14.013,13.982,14.107,14.270,14.463,14.326,14.406,14.078,14.099,13.966,13.999,14.156,14.158,14.156,Secondary,DQ5,V2.SPSS217.ascii,418491412783587200,Constant
LTT377,00:41:30.47,-33:37:32.03,10.376958,-33.625564,10.549,13.778,11.207,9.968,9.309,9.097,9.241,9.098,10.112,10.074,11.169,11.080,9.681,9.679,9.681,Secondary,K9,V2.SPSS350.ascii,5006921282807193856,Constant
WD0046+051,00:49:09.90,05:23:19.01,12.29125,5.3886139,12.496,13.568,12.536,12.301,12.265,12.422,12.312,12.355,12.316,12.447,12.527,12.409,12.275,12.274,12.275,Secondary,DZ7,V2.SPSS101.ascii,2552928187080872832,Constant
WD0047-524,00:50:03.68,-52:08:15.60,12.515333,-52.137667,14.209,14.179,14.070,14.425,14.722,15.056,14.815,14.967,14.339,14.329,13.949,14.104,14.759,14.773,14.759,Secondary,DA2,V2.SPSS218.ascii,4922382445088509312,
WD0050-332,00:53:17.44,-32:59:56.60,13.322667,-32.999056,13.243,12.769,13.115,13.592,13.917,14.205,13.997,14.150,13.513,13.386,13.045,13.235,13.822,13.833,13.822,Secondary,DA1,V2.SPSS159.ascii,5006486048001153792,
WD0109-264,01:12:11.65,-26:13:27.69,18.048542,-26.224358,13.040,12.706,12.903,13.358,13.704,14.038,13.796,13.976,13.284,13.181,12.845,13.031,13.547,13.554,13.547,Secondary,DA1,V2.SPSS161.ascii,5033887183435272064,
WD0123-262,01:25:24.45,-26:00:43.90,21.351875,-26.012194,15.108,15.537,15.133,15.008,15.007,15.158,15.051,15.092,15.014,15.093,15.138,15.064,14.995,14.995,14.995,Secondary,DC,V2.SPSS220.ascii,5037084872486444928,Constant
G245-31,01:38:39.39,69:38:01.50,24.664125,69.63375,14.590,15.884,14.813,14.240,13.994,13.905,13.966,13.896,14.300,14.403,14.853,14.632,14.172,14.162,14.172,Secondary,K,V2.SPSS221.ascii,532196686212705536,Constant
GJ70,01:43:20.18,04:19:17.97,25.834083,4.3216583,10.969,13.935,11.730,10.435,9.344,8.846,9.167,8.911,10.687,10.227,11.883,11.480,9.951,9.957,9.951,Secondary,M2,V2.SPSS327.ascii,2560771312759450496,Constant
LTT1020,01:54:50.27,-27:28:35.74,28.709458,-27.476594,11.600,12.549,11.713,11.360,11.228,11.253,11.236,11.255,11.386,11.500,11.723,11.581,11.341,11.348,11.341,Primary,G,V2.SPSS039.ascii,5024640977840398848,Constant
LP885-23,02:07:06.33,-30:24:22.90,31.776375,-30.406361,14.029,17.448,14.815,13.536,12.207,11.605,11.986,11.709,13.881,13.135,14.932,14.545,12.951,12.969,12.951,Secondary,M0,V2.SPSS352.ascii,5020116556211470848,Constant
EG21,03:10:31.02,-68:36:03.39,47.62925,-68.600942,11.394,11.474,11.264,11.565,11.836,12.170,11.928,12.078,11.471,11.503,11.123,11.260,11.941,11.956,11.941,Primary,DA3,V2.SPSS005.ascii,4646535078125821568,Constant
HG7-15,03:48:11.86,07:08:46.47,57.049417,7.1462417,10.847,14.056,11.445,10.269,9.738,9.473,9.650,9.527,10.382,10.422,11.354,11.366,10.028,10.025,10.028,Secondary,M1,V2.SPSS328.ascii,3277270538903180160,Constant
LTT1788,03:48:22.67,-39:08:37.20,57.094458,-39.143667,13.223,14.028,13.308,13.024,12.910,12.938,12.919,12.918,13.047,13.141,13.323,13.194,13.018,13.019,13.018,Primary,F,V2.SPSS040.ascii,4855735169813450624,Constant
GD50,03:48:50.20,-00:58:31.20,57.209167,-0.97533333,13.938,13.400,13.817,14.292,14.661,15.057,14.768,14.940,14.206,14.090,13.745,13.937,14.530,14.533,14.530,Primary,DA2,V2.SPSS006.ascii,3251244858154433536,
HZ2,04:12:43.55,11:51:49.00,63.181458,11.863611,13.853,13.722,13.721,14.078,14.390,14.707,14.478,14.620,13.991,13.975,13.611,13.762,14.394,14.389,14.394,Primary,DA3,V2.SPSS007.ascii,3304090857318319232,
WD0455-282,04:57:13.90,-28:07:54.00,74.307917,-28.131667,13.802,13.263,13.673,14.184,14.558,14.905,14.653,14.812,14.106,13.957,13.615,13.820,14.379,14.391,14.379,Secondary,DA1,V2.SPSS168.ascii,4880286371109059712,
WD0501-289,05:03:55.51,-28:54:34.57,75.981292,-28.909603,13.723,13.086,13.608,14.125,14.534,14.919,14.637,14.810,14.040,13.886,13.621,13.761,14.326,14.322,14.326,Secondary,DO,V2.SPSS170.ascii,4876967941937370368,Constant
G191-B2B,05:05:30.61,52:49:51.95,76.377542,52.831097,11.639,11.067,11.515,12.013,12.403,12.793,12.509,12.678,11.934,11.796,11.462,11.664,12.191,12.194,12.191,Pillar,DA0,V2.SPSS001.ascii,266077145295627520,Constant
GD71,05:52:27.63,15:53:13.37,88.115125,15.887047,12.931,12.480,12.803,13.262,13.631,14.015,13.735,13.912,13.178,13.079,12.730,12.915,13.506,13.517,13.506,Pillar,DA1,V2.SPSS002.ascii,3348071631670500736,Constant
LTT2415,05:56:24.74,-27:51:32.35,89.103083,-27.858986,12.279,13.069,12.334,12.114,12.035,12.075,12.047,12.031,12.127,12.218,12.336,12.239,12.131,12.136,12.131,Primary,G,V2.SPSS009.ascii,2910503176753011840,Constant
HD270477,05:59:33.36,-67:01:13.72,89.889,-67.020478,10.465,11.419,10.488,10.316,10.303,10.387,10.328,10.379,10.308,10.429,10.456,10.410,10.373,10.376,10.373,Secondary,F8,V2.SPSS345.ascii,4659680529922228096,
HD271747,05:59:58.62,-66:06:08.91,89.99425,-66.102475,11.560,12.828,11.664,11.302,11.196,11.231,11.207,11.225,11.318,11.462,11.656,11.537,11.292,11.296,11.292,Secondary,G0,V2.SPSS346.ascii,4755812790042069888,
